"lake_id","site_id","visit","site_depth","site_wgt","lat","long","site_depth_units","site_wgt_units","sample_start","sample_end","chla_collection_date"
1005,"35",1,2.4,0.328,"39.591658"," -84.985762","m","dimensionless",2016-08-18,2016-08-19,NA
1006,"1",1,2.7,0.3,"37.300722"," -83.445616","m","dimensionless",2016-08-23,2016-08-24,NA
1006,"2",1,4.6,0.2,"37.285478"," -83.451756","m","dimensionless",2016-08-23,2016-08-24,NA
1006,"3",1,10.1,0.5,"37.329550"," -83.462499","m","dimensionless",2016-08-23,2016-08-24,2016-08-24
1006,"4",1,4.3,0.2,"37.290851"," -83.462710","m","dimensionless",2016-08-23,2016-08-24,NA
1006,"5",1,8.7,0.3,"37.308545"," -83.450415","m","dimensionless",2016-08-23,2016-08-24,NA
1006,"6",1,7.9,0.2,"37.281061"," -83.443406","m","dimensionless",2016-08-23,2016-08-24,NA
1006,"7",1,6.2,0.5,"37.319525"," -83.459431","m","dimensionless",2016-08-23,2016-08-24,NA
1006,"8",1,9.1,0.3,"37.306570"," -83.458799","m","dimensionless",2016-08-23,2016-08-24,NA
1006,"9",1,5.5,0.3,"37.300351"," -83.449088","m","dimensionless",2016-08-23,2016-08-24,NA
1006,"29",1,6.4,0.2,"37.284103"," -83.407099","m","dimensionless",2016-08-23,2016-08-24,NA
1006,"30",1,5.2,0.15,"37.282122"," -83.377815","m","dimensionless",2016-08-23,2016-08-24,NA
1006,"31",1,4.3,0.15,"37.291391"," -83.378692","m","dimensionless",2016-08-23,2016-08-24,2016-08-24
1006,"32",1,3.7,0.3,"37.284673"," -83.430614","m","dimensionless",2016-08-23,2016-08-24,NA
1006,"33",1,8.8,0.2,"37.283436"," -83.411412","m","dimensionless",2016-08-23,2016-08-24,NA
1006,"39",1,3,0.3,"37.271675"," -83.438363","m","dimensionless",2016-08-23,2016-08-24,NA
1007,"1",1,3.7,0.2075,"39.535570"," -82.029063","m","dimensionless",2016-06-21,2016-06-22,NA
1007,"2",1,5.9,0.2075,"39.524476"," -82.043695","m","dimensionless",2016-06-21,2016-06-22,NA
1007,"3",1,3.4,0.2075,"39.534955"," -82.034880","m","dimensionless",2016-06-21,2016-06-22,NA
1007,"4",1,6.5,0.2075,"39.533033"," -82.051741","m","dimensionless",2016-06-21,2016-06-22,NA
1007,"5",1,8.1,0.2075,"39.542015"," -82.054853","m","dimensionless",2016-06-21,2016-06-22,2016-06-20
1007,"6",1,4,0.2075,"39.534103"," -82.032223","m","dimensionless",2016-06-21,2016-06-22,NA
