"lake_id","name","value","units"
230,"nla17_site_id","NLA17_IN-10002",NA
230,"nla12_site_id","NLA12_IN-104",NA
230,"nla07_site_id","NLA06608-2916",NA
230,"nhdplus_comid","10107773",NA
230,"lagoslakeid","88820",NA
230,"hylak_id","1058041",NA
230,"nid_id","IN00189",NA
231,"nla17_site_id","NLA17_SD-10112",NA
231,"nla22_site_id","NLA22_SD-10088",NA
231,"nhdplus_comid","12555002",NA
231,"lagoslakeid","353133",NA
231,"hylak_id","108901",NA
231,"grand_id","848",NA
231,"nid_id","SD00016",NA
231,"lagoslakeid","351297",NA
231,"nhdplus_comid","12555004",NA
231,"gnis_id","1256961",NA
231,"nhdplus_comid","12554996",NA
232,"nla17_site_id","NLA17_ND-10126",NA
232,"nla22_site_id","NLA22_ND-10101",NA
232,"nhdplus_comid","14278116",NA
232,"lagoslakeid","315741",NA
232,"hylak_id","104950",NA
232,"nid_id","ND00189",NA
232,"nhdplus_comid","14278128",NA
232,"nhdplus_comid","14278148",NA
233,"nla17_site_id","NLA17_WI-10010",NA
233,"nla12_site_id","NLA12_WI-173",NA
233,"nhdplus_comid","13652598",NA
233,"gnis_id","1792896",NA
233,"lagoslakeid","4900",NA
233,"hylak_id","110902",NA
233,"grand_id","892",NA
233,"nid_id","WI00707",NA
234,"nla17_site_id","NLA17_MI-10007",NA
234,"nla12_site_id","NLA12_MI-112",NA
234,"nla07_site_id","NLA06608-0363",NA
234,"nhdplus_comid","15677567",NA
234,"lagoslakeid","3582",NA
234,"hylak_id","111537",NA
235,"nla17_site_id","NLA17_IN-10010",NA
235,"nla12_site_id","NLA12_IN-149",NA
235,"nhdplus_comid","167552428",NA
235,"gnis_id","444518",NA
235,"lagoslakeid","2898",NA
235,"hylak_id","111733",NA
235,"nid_id","IN00383",NA
236,"nla17_site_id","NLA17_IA-10034",NA
236,"nhdplus_comid","13308673",NA
236,"gnis_id","459018",NA
236,"lagoslakeid","5414",NA
236,"hylak_id","1049046",NA
236,"nid_id","IA01077",NA
237,"nla17_site_id","NLA17_WI-10013",NA
237,"nla12_site_id","NLA12_WI-157",NA
237,"nhdplus_comid","13205684",NA
237,"gnis_id","1834495",NA
237,"lagoslakeid","5006",NA
237,"hylak_id","1048247",NA
240,"nla17_site_id","NLA17_SD-10009",NA
240,"nla12_site_id","NLA12_SD-107",NA
240,"nla07_site_id","NLA06608-0979",NA
240,"nhdplus_comid","14395602",NA
240,"gnis_id","1267048",NA
240,"lagoslakeid","337055",NA
240,"hylak_id","1047730",NA
240,"nid_id","SD02152",NA
247,"nhdplus_comid","17843236",NA
247,"gnis_id","923891",NA
247,"lagoslakeid","447742",NA
247,"hylak_id","9301",NA
247,"grand_id","603",NA
247,"nid_id","NM00122",NA
250,"nla17_site_id","NLA17_MT-10014",NA
250,"nla12_site_id","NLA12_MT-124",NA
250,"nhdplus_comid","24315765",NA
250,"gnis_id","782895",NA
250,"lagoslakeid","457983",NA
250,"hylak_id","107881",NA
250,"grand_id","344",NA
264,"nla17_site_id","NLA17_CO-10037",NA
264,"nla22_site_id","NLA22_CO-10023",NA
264,"nhdplus_comid","17905661",NA
264,"gnis_id","199649",NA
264,"lagoslakeid","446976",NA
264,"hylak_id","1058547",NA
264,"nid_id","CO00812",NA
276,"nla17_site_id","NLA17_UT-10009",NA
276,"nla22_site_id","NLA22_UT-10125",NA
276,"nla12_site_id","NLA12_UT-196",NA
276,"nhdplus_comid","3906261",NA
276,"gnis_id","1447806",NA
276,"lagoslakeid","452903",NA
276,"hylak_id","1056355",NA
276,"nid_id","UT10142",NA
281,"nla17_site_id","NLA17_MT-10101",NA
281,"nla22_site_id","NLA22_MT-10091",NA
281,"nhdplus_comid","24331578",NA
281,"gnis_id","796284",NA
281,"lagoslakeid","459210",NA
281,"hylak_id","1030644",NA
281,"nid_id","MT01166",NA
328,"nla17_site_id","NLA17_WY-10005",NA
328,"nla12_site_id","NLA12_WY-131",NA
328,"nhdplus_comid","3192814",NA
328,"gnis_id","1590318",NA
328,"lagoslakeid","450981",NA
